Timestamp,X_Accel_g,Y_Accel_g,Z_Accel_g
274,0.379883,-0.771484,-0.597168
275,0.305176,-0.812012,-0.558105
276,0.202637,-0.872559,-0.529785
277,0.078125,-0.888184,-0.539062
278,-0.063477,-0.908691,-0.513672
279,-0.085449,-0.890625,-0.496094
280,-0.150391,-0.900879,-0.505371
281,-0.143555,-0.901367,-0.476074
282,-0.175781,-0.894531,-0.48584
283,-0.205566,-0.884766,-0.508301
284,-0.13623,-0.897949,-0.474121
285,-0.100098,-0.922363,-0.455566
286,-0.056152,-0.898926,-0.458984
287,0.001953,-0.897949,-0.46875
288,0.133301,-0.939453,-0.412109
289,0.273926,-0.865723,-0.443848
290,0.336914,-0.862305,-0.476562
291,0.189453,-0.902344,-0.489746
292,0.160645,-0.891602,-0.46582
293,0.03418,-0.912109,-0.477539
294,-0.091797,-0.90918,-0.488281
295,-0.157227,-0.88916,-0.48291
296,-0.258789,-0.879883,-0.484863
297,-0.327148,-0.845703,-0.490723
298,-0.390625,-0.782715,-0.632812
299,-0.445801,-0.71582,-0.537109
300,-0.435547,-0.703613,-0.555176
301,-0.412598,-0.741211,-0.584961
302,-0.397949,-0.745117,-0.559082
303,-0.333496,-0.831055,-0.518555
304,-0.16748,-0.853516,-0.523438
305,-0.001953,-0.888672,-0.532715
306,0.095703,-0.87793,-0.538086
307,0.172363,-0.850098,-0.568359
308,0.337891,-0.842285,-0.47998
309,0.452148,-0.841309,-0.479492
310,0.484863,-0.756836,-0.521484
311,0.583496,-0.719238,-0.487305
312,0.689453,-0.641113,-0.482422
313,0.761719,-0.591797,-0.477051
314,0.63623,-0.504883,-0.594238
315,0.742676,-0.472656,-0.57666
316,0.836914,-0.379883,-0.568359
317,0.90332,-0.268066,-0.581055
318,0.878418,-0.112793,-0.589844
319,0.923828,0.054199,-0.58252
320,0.854004,0.210449,-0.562012
321,0.811035,0.369141,-0.567383
322,0.753906,0.494141,-0.543457
323,0.683594,0.558105,-0.536621
324,0.656738,0.646973,-0.537598
325,0.651855,0.719727,-0.520508
326,0.709473,0.505859,-0.59375
327,0.719727,0.454102,-0.574707
328,0.715332,0.493652,-0.539551
329,0.729492,0.537109,-0.522949
330,0.659668,0.654297,-0.485352
331,0.606934,0.679688,-0.479492
332,0.589355,0.751465,-0.475586
333,0.513184,0.804688,-0.479004
334,0.421387,0.845215,-0.44043
335,0.382812,0.848145,-0.443359
336,0.297363,0.849609,-0.443848
337,0.31543,0.86377,-0.467773
338,0.178711,0.817871,-0.415527
339,0.367188,0.845703,-0.45752
340,0.366699,0.862793,-0.442383
341,0.337891,0.880371,-0.46582
342,0.285156,0.890137,-0.441895
343,0.308594,0.894043,-0.450195
344,0.348145,0.868164,-0.422363
345,0.456055,0.844727,-0.422363
346,0.479492,0.832031,-0.359863
347,0.584961,0.773438,-0.353027
348,0.54834,0.787598,-0.270996
349,0.647949,0.756836,-0.315918
350,0.692383,0.687988,-0.305176
351,0.730469,0.646973,-0.348145
352,1.252441,0.697754,-0.410645
353,0.753418,0.605469,-0.304199
354,0.780762,0.617676,-0.319824
355,0.881836,0.652832,-0.322266
356,0.785645,0.557129,-0.37793
357,0.791016,0.570312,-0.371094
358,0.816895,0.571289,-0.390625
359,0.791016,0.491211,-0.432129
360,0.815918,0.497559,-0.419922
361,0.807129,0.483398,-0.455566
362,0.835938,0.455566,-0.457031
363,0.806152,0.416992,-0.515625
364,0.837891,0.396484,-0.477539
365,0.862793,0.384766,-0.463867
366,0.876465,0.372559,-0.474609
367,0.860352,0.379395,-0.469727
368,0.874512,0.372559,-0.456055
