Timestamp,X_Mag_Ga,Y_Mag_Ga,Z_Mag_Ga
382,0.09854,-0.292701,0.027007
383,0.112409,-0.272993,0.060584
384,0.10438,-0.258394,0.143066
385,0.105839,-0.240876,0.149635
386,0.10219,-0.227007,0.162044
387,0.10146,-0.229927,0.163504
388,0.10219,-0.208029,0.162774
389,0.10292,-0.180292,0.163504
390,0.10292,-0.176642,0.162774
391,0.10219,-0.172263,0.160584
392,0.10438,-0.186131,0.160584
393,0.10438,-0.186861,0.159124
394,0.105839,-0.175912,0.156204
395,0.105839,-0.166423,0.154745
396,0.105839,-0.156204,0.149635
397,0.113139,-0.150365,0.120438
398,0.116058,-0.154015,0.116788
399,0.116058,-0.153285,0.108029
400,0.115328,-0.145255,0.10365
401,0.115328,-0.139416,0.090511
402,0.115328,-0.133577,0.081022
403,0.10219,-0.10219,0.064964
404,0.086861,-0.081022,0.037226
405,0.069343,-0.064964,0.016058
406,0.040146,-0.055474,-0.020438
407,0.015328,-0.043066,-0.029927
408,-0.010219,-0.036496,-0.038686
409,-0.038686,-0.021898,-0.037226
410,-0.076642,0.00146,-0.010949
411,-0.084672,-0.00365,-0.024088
412,-0.09708,-0.00146,-0.018978
413,-0.105839,-0.00073,-0.018248
414,-0.121898,-0.009489,-0.029927
415,-0.135036,-0.020438,-0.043066
416,-0.146715,-0.037226,-0.058394
417,-0.162044,-0.029197,-0.043796
418,-0.171533,-0.019708,-0.024818
419,-0.178832,-0.005839,0.006569
420,-0.180292,0.00073,0.026277
421,-0.178832,0.007299,0.048905
422,-0.175912,0.007299,0.052555
423,-0.167883,0.013139,0.083942
424,-0.164964,0.012409,0.105109
425,-0.164234,0.005839,0.137226
426,-0.157664,0.00146,0.152555
427,-0.148175,-0.005109,0.169343
428,-0.137226,-0.018248,0.19562
429,-0.117518,-0.029197,0.212409
430,-0.067883,-0.040876,0.219708
431,-0.055474,-0.043796,0.219708
432,-0.054745,-0.040876,0.216058
433,-0.053285,-0.028467,0.20292
434,-0.052555,-0.027737,0.20292
435,-0.056934,-0.031387,0.208759
436,-0.054015,-0.032847,0.207299
437,-0.049635,-0.035766,0.209489
438,-0.048175,-0.032847,0.205839
439,-0.062044,-0.023358,0.2
440,-0.079562,-0.018248,0.19854
441,-0.113869,-0.010219,0.186131
442,-0.137956,-0.010219,0.182482
443,-0.159854,-0.013139,0.178102
444,-0.172263,-0.011679,0.168613
445,-0.182482,-0.015328,0.166423
446,-0.185401,-0.016058,0.165693
447,-0.190511,-0.025547,0.176642
448,-0.19854,-0.074453,0.224818
449,-0.19708,-0.130657,0.258394
450,-0.207299,-0.177372,0.264234
451,-0.205839,-0.218978,0.267153
452,-0.210219,-0.245255,0.262044
453,-0.208759,-0.248905,0.261314
454,-0.215328,-0.270803,0.252555
455,-0.167153,-0.313869,0.253285
456,-0.149635,-0.376642,0.209489
457,-0.121168,-0.389051,0.2
458,-0.105839,-0.39781,0.187591
459,-0.110949,-0.40146,0.182482
460,-0.10073,-0.411679,0.165693
461,-0.09854,-0.413139,0.161314
462,-0.083212,-0.421168,0.139416
463,-0.073723,-0.424818,0.118978
464,-0.087591,-0.424818,0.125547
465,-0.110219,-0.421168,0.140876
466,-0.137956,-0.411679,0.159854
467,-0.164964,-0.394161,0.181752
468,-0.181022,-0.382482,0.192701
469,-0.188321,-0.372263,0.2
470,-0.19562,-0.356934,0.212409
471,-0.19708,-0.342336,0.224818
472,-0.188321,-0.343066,0.226277
473,-0.174453,-0.354745,0.224818
474,-0.170073,-0.349635,0.228467
475,-0.169343,-0.340876,0.235036
476,-0.172993,-0.334307,0.239416
477,-0.177372,-0.340876,0.234307
478,-0.175912,-0.365693,0.211679
479,-0.167883,-0.373723,0.208029
480,-0.165693,-0.364964,0.216788
481,-0.159854,-0.366423,0.216058
482,-0.160584,-0.367883,0.216058
483,-0.175182,-0.358394,0.218248
484,-0.179562,-0.360584,0.216058
485,-0.166423,-0.372993,0.208759
486,-0.162774,-0.367883,0.214599
487,-0.162774,-0.369343,0.213869
488,-0.170803,-0.370073,0.209489
489,-0.179562,-0.368613,0.208029
490,-0.183942,-0.366423,0.206569
491,-0.186131,-0.367153,0.207299
492,-0.187591,-0.363504,0.209489
493,-0.185401,-0.359124,0.213139
494,-0.179562,-0.352555,0.222628
495,-0.171533,-0.346715,0.231387
496,-0.155474,-0.340876,0.240876
497,-0.134307,-0.336496,0.245985
498,-0.122628,-0.340876,0.245255
499,-0.109489,-0.351825,0.238686
500,-0.09635,-0.361314,0.227737
501,-0.092701,-0.374453,0.216058
502,-0.093431,-0.387591,0.20219
503,-0.093431,-0.39708,0.189051
504,-0.092701,-0.407299,0.171533
505,-0.092701,-0.408029,0.172993
506,-0.087591,-0.39854,0.186131
507,-0.086861,-0.387591,0.20073
508,-0.090511,-0.371533,0.217518
509,-0.09635,-0.362774,0.227737
510,-0.09854,-0.355474,0.235036
511,-0.10365,-0.356204,0.233577
512,-0.113139,-0.363504,0.226277
513,-0.125547,-0.375182,0.215328
514,-0.137226,-0.390511,0.19635
515,-0.153285,-0.40073,0.175912
516,-0.157664,-0.411679,0.154745
517,-0.158394,-0.414599,0.147445
518,-0.172263,-0.413139,0.143066
519,-0.194891,-0.407299,0.132847
520,-0.19562,-0.405109,0.137226
521,-0.177372,-0.405109,0.154745
522,-0.154745,-0.39927,0.178832
523,-0.155474,-0.386861,0.19635
524,-0.175912,-0.385401,0.189051
525,-0.194891,-0.388321,0.172263
526,-0.207299,-0.391971,0.154015
527,-0.213139,-0.39708,0.133577
528,-0.20146,-0.405839,0.123358
529,-0.166423,-0.424088,0.09635
530,-0.145255,-0.429197,0.083942
531,-0.129197,-0.430657,0.070073
532,-0.110949,-0.428467,0.048905
533,-0.094161,-0.421168,0.018978
534,-0.080292,-0.411679,-0.005109
535,-0.073723,-0.40146,-0.022628
536,-0.081022,-0.390511,-0.040876
537,-0.078832,-0.379562,-0.055474
538,-0.074453,-0.360584,-0.073723
539,-0.075182,-0.339416,-0.089781
540,-0.077372,-0.347445,-0.084672
541,-0.076642,-0.362774,-0.072263
542,-0.078832,-0.375182,-0.061314
543,-0.081752,-0.393431,-0.037226
544,-0.084672,-0.410219,-0.008029
545,-0.081752,-0.419708,0.017518
546,-0.080292,-0.424088,0.027737
547,-0.078102,-0.427737,0.049635
548,-0.070073,-0.427737,0.075182
549,-0.064234,-0.426277,0.091971
550,-0.061314,-0.424088,0.108759
551,-0.060584,-0.424088,0.110949
552,-0.059854,-0.424088,0.10219
553,-0.060584,-0.426277,0.069343
554,-0.060584,-0.424818,0.060584
555,-0.054745,-0.424088,0.066423
556,-0.048175,-0.421898,0.063504
557,-0.045255,-0.422628,0.063504
558,-0.045985,-0.423358,0.069343
559,-0.043796,-0.421898,0.083212
560,-0.043796,-0.421898,0.091241
561,-0.045255,-0.423358,0.089781
562,-0.052555,-0.425547,0.091241
563,-0.056204,-0.424818,0.105109
564,-0.061314,-0.423358,0.116058
565,-0.066423,-0.424088,0.119708
566,-0.064234,-0.424818,0.115328
567,-0.070803,-0.427007,0.107299
568,-0.066423,-0.427737,0.10073
569,-0.048905,-0.423358,0.105839
570,-0.045985,-0.420438,0.117518
571,-0.076642,-0.429197,0.09927
572,-0.113139,-0.434307,0.078102
573,-0.165693,-0.424818,0.055474
574,-0.20365,-0.411679,0.054745
575,-0.235036,-0.394161,0.070803
576,-0.265693,-0.369343,0.082482
577,-0.294161,-0.335036,0.092701
578,-0.30219,-0.321168,0.09927
579,-0.306569,-0.313869,0.10219
580,-0.313139,-0.29854,0.10365
581,-0.322628,-0.277372,0.09927
582,-0.322628,-0.272993,0.10219
583,-0.324818,-0.259854,0.09781
584,-0.331387,-0.235766,0.085401
585,-0.331387,-0.210949,0.078832
586,-0.330657,-0.188321,0.063504
587,-0.324818,-0.159124,0.058394
588,-0.318248,-0.136496,0.056934
589,-0.309489,-0.114599,0.054015
590,-0.29781,-0.093431,0.049635
591,-0.278102,-0.066423,0.043066
592,-0.269343,-0.057664,0.039416
593,-0.275182,-0.068613,0.032117
594,-0.287591,-0.089051,0.024818
595,-0.29854,-0.109489,0.018978
596,-0.30073,-0.121898,0.015328
597,-0.306569,-0.140146,0.013869
598,-0.30365,-0.137956,0.008759
599,-0.29635,-0.126277,0.00292
600,-0.286131,-0.108759,0.00146
601,-0.281022,-0.10146,0.00292
602,-0.271533,-0.078832,0.013869
603,-0.261314,-0.061314,0.027737
604,-0.287591,-0.091241,0.037956
605,-0.305839,-0.119708,0.043066
606,-0.289781,-0.091241,0.045985
607,-0.250365,-0.038686,0.062774
608,-0.189051,0.00219,0.089051
609,-0.10438,0.016788,0.117518
610,-0.039416,0.00146,0.140146
611,0.044526,-0.048175,0.143796
612,0.081752,-0.087591,0.130657
613,0.109489,-0.134307,0.105109
614,0.114599,-0.142336,0.074453
615,0.09635,-0.09635,0.060584
616,0.062774,-0.048905,0.062044
617,0.009489,-0.007299,0.077372
618,-0.046715,0.016058,0.094161
619,-0.080292,0.020438,0.09708
620,-0.114599,0.021168,0.09927
621,-0.153285,0.013869,0.10292
622,-0.181752,0.005109,0.10365
623,-0.208759,-0.007299,0.09781
624,-0.229197,-0.018978,0.086861
625,-0.242336,-0.029927,0.077372
626,-0.247445,-0.035036,0.067153
627,-0.246715,-0.032847,0.059854
628,-0.242336,-0.032117,0.053285
629,-0.227737,-0.021898,0.054015
630,-0.193431,0.00219,0.070073
631,-0.152555,0.016788,0.093431
632,-0.10438,0.019708,0.112409
633,-0.049635,0.009489,0.128467
634,-0.00292,-0.010219,0.141606
635,0.024088,-0.032117,0.150365
