roll,pitch,yaw
1.054987500077914753e+00,-9.061791789817517204e-06,1.389412954763281360e-01
7.766979992863060067e-01,-5.727629210948534483e-06,7.523772141740679709e-02
-5.970529359101618416e-01,4.712594114445216640e-06,-4.639609169729663751e-02
4.038599273420727664e-01,-2.886037091118895430e-06,1.712991510724108657e-02
-3.363902091567980146e-02,3.773025822024316293e-07,-1.733230818476159778e-03
-1.296775997450946294e+00,1.093274609748625894e-05,8.710161647690638003e-05
-1.330965973101485289e-01,8.493109858851010425e-07,5.281932531084942116e-03
-9.830831089027289305e-02,8.289106753668736756e-07,4.725650097866176610e-03
6.917308669292825396e-01,-5.168021954482177871e-06,-5.470511481058776965e-02
-1.391665756160557432e+00,1.401924359870835283e-05,1.191248464934677592e-01
9.159971698977947829e-02,-6.422793395922594020e-07,-1.226754686229475193e-02
8.921693928765838111e-01,-7.688754766584774184e-06,-1.261051941495004158e-01
-7.142698368787540053e-01,3.942528846815966084e-06,1.420699540730150923e-01
1.104323038909509558e+00,-1.125315181934866155e-05,-1.927022636882331774e-01
-3.150098122676147083e-01,1.823212503650399654e-06,7.643781812480375526e-02
1.884053234213055317e-01,-1.441624264410142906e-06,-4.658349075833707192e-02
-4.291275533790783192e-01,1.735824565880182459e-06,1.324002626296838236e-01
5.835880674683959768e-01,-2.218851400022196435e-06,-1.920607087722080997e-01
4.456810563270763650e-03,-2.223064358271625422e-08,-1.518966080900585559e-03
-1.751325483267467953e-01,8.880916065899214522e-07,6.451230672753616169e-02
-9.415327451172332829e-01,3.701648055047200271e-06,3.820959126972426900e-01
-9.514547551463440334e-01,2.780534956250701062e-06,4.227495491353697732e-01
-2.922168374200906915e-01,5.184316589075473599e-07,1.361636054671806484e-01
-1.161681677887518305e-01,3.044381830165007493e-07,5.673908122583586067e-02
5.306097538067660047e-01,-1.539238820785035607e-07,-2.840327879061629868e-01
6.165166772796697447e-01,2.638400148868123772e-07,-3.502966051590257202e-01
-4.178299332676777000e-01,-3.758419536572404979e-07,2.526718716867238923e-01
2.023363677606272670e+00,7.615662392417476008e-06,-1.283533403751823565e+00
-9.956008883613547411e-01,-1.826455564417009739e-06,6.643040299931464165e-01
-2.291912945557807169e-01,-7.362780972216095525e-07,1.634954314052042834e-01
1.310769817350957434e-01,1.087828348042016550e-06,-1.011067363577689282e-01
3.079402607604731293e-02,1.752133858657842341e-07,-2.400276716991682491e-02
1.324074634401951334e-01,1.065165593233929327e-06,-1.083769004829156224e-01
1.697017333282521412e-01,1.739156669443888308e-06,-1.521177790022414100e-01
6.691262519518158536e-01,7.910946525765273128e-06,-6.111388319984000228e-01
9.420088190647288862e-01,1.334660923978388197e-05,-9.188984836711965309e-01
-1.257904204890735733e-01,-1.767365410583070060e-06,1.283959586180609680e-01
1.001092927812546468e-01,1.645535311138405859e-06,-1.076682335346215436e-01
4.448170226809048389e-01,7.527106336245672176e-06,-4.925569227182812759e-01
3.012490131796081716e-01,6.155234167601990460e-06,-3.581770625847446321e-01
6.211257664836544734e-01,1.485876057112698226e-05,-7.855272195066920204e-01
1.886789837218358634e-01,4.666845382981006058e-06,-2.479348852367458667e-01
1.466631123184544694e-01,4.223147825941190412e-06,-2.077426517961988850e-01
3.681352655103208305e-01,1.088013391667923998e-05,-5.513168649704445201e-01
-3.321471125518828948e-01,-1.099678660322566832e-05,5.315668988895420055e-01
3.150205468004137477e-01,1.217824541564729138e-05,-5.105206226966880756e-01
1.416598883122651420e-01,6.079287665043381650e-06,-2.438512571593783318e-01
-6.084663664778725556e-01,-2.454910905859195212e-05,1.147284812229043327e+00
1.099645888558988815e-01,5.434755193165599628e-06,-2.185399085453141876e-01
2.058528427644694958e-01,1.099727486664726851e-05,-4.335321050348327487e-01
