Timestamp,X_Accel_g,Y_Accel_g,Z_Accel_g
401,-0.245605,0.570312,-0.797363
402,-0.25293,0.596191,-0.791992
403,-0.202637,0.670898,-0.721191
404,-0.148926,0.773926,-0.621094
405,-0.271484,0.381836,-0.898438
406,-0.066406,0.975098,-0.338379
407,-0.023438,0.986328,-0.273438
408,0.060547,0.979492,-0.170898
409,0.152344,0.973633,-0.033691
410,0.240234,1.010742,0.053223
411,0.313477,0.94873,0.125
412,0.379395,0.929688,0.14502
413,0.443848,0.937988,0.150879
414,0.464355,0.896973,0.164062
415,0.507324,0.841797,0.155273
416,0.569336,0.81543,0.135254
417,0.577148,0.774414,0.129883
418,0.700684,0.807129,0.114746
419,0.643066,0.736328,0.138184
420,0.783203,0.674805,0.14209
421,0.821777,0.572266,0.107422
422,0.861816,0.468262,0.081543
423,0.907227,0.370605,0.081543
424,0.90625,0.215332,0.064453
425,0.989258,0.064453,0.065918
426,1.026855,-0.051758,0.066895
427,1.058105,-0.144531,0.065918
428,1.012207,-0.231445,0.023438
429,1.008789,-0.309082,0.000488
430,1.320801,-0.394043,0.001465
431,0.978027,-0.353516,-0.017578
432,0.974121,-0.405273,-0.028809
433,0.938965,-0.42627,-0.037109
434,0.92334,-0.471191,0.006836
435,0.854004,-0.666992,-0.009277
436,0.773438,-0.666992,0.03418
437,0.655273,-0.708984,0.03125
438,0.623047,-0.751465,-0.001953
439,0.553223,-0.865723,0.0
440,0.464355,-0.969238,-0.046387
441,0.335938,-0.984863,-0.016113
442,0.25,-1.040527,-0.041504
443,0.109375,-1.018555,-0.030762
444,-0.014648,-1.013672,-0.044922
445,-0.087891,-0.986328,-0.091797
446,-0.19043,-0.966797,-0.113281
447,-0.28125,-0.941406,-0.148926
448,-0.405762,-0.907715,-0.17334
449,-0.466797,-0.87207,-0.209961
450,-0.508789,-0.816406,-0.253418
451,-0.625,-0.740234,-0.285156
452,-0.696289,-0.630371,-0.370605
453,-0.717773,-0.538086,-0.398926
454,-0.759766,-0.471191,-0.425293
455,-0.782227,-0.35498,-0.481445
456,-0.847656,-0.216309,-0.536133
457,-0.903809,-0.165039,-0.607422
458,-0.783691,0.045898,-0.638184
459,-0.683105,0.138184,-0.680664
460,-0.628906,0.297852,-0.726074
461,-0.453613,0.394043,-0.785156
462,-0.453613,0.428711,-0.82373
463,-0.353516,0.42041,-0.836914
464,-0.266602,0.51123,-0.913086
465,-0.12793,0.474609,-0.921387
466,-0.026855,0.429199,-0.954102
467,0.076172,0.376953,-0.954102
468,0.118164,0.305176,-0.936523
469,0.193848,0.307129,-0.943848
470,0.330566,0.25,-0.906738
471,0.32666,0.221191,-0.992676
472,0.416016,0.101562,-0.951172
473,0.439453,0.05127,-0.955078
474,0.518066,-0.135742,-0.922852
475,0.578613,-0.15332,-0.84375
476,0.626465,-0.217285,-0.77002
477,0.663574,-0.259766,-0.760742
478,0.752441,-0.312012,-0.69873
479,0.715332,-0.307129,-0.71875
480,0.664551,-0.313965,-0.700195
481,0.76709,-0.321777,-0.609863
482,0.821289,-0.33252,-0.559082
483,0.776367,-0.378906,-0.575684
484,0.888184,-0.347656,-0.441895
485,0.941895,-0.349121,-0.299316
486,0.927246,-0.313477,-0.243164
487,0.972656,-0.309082,-0.09082
488,1.004883,-0.316406,0.011719
489,0.971191,-0.303711,0.075195
490,0.982422,-0.286133,0.146973
491,0.965332,-0.223145,0.257812
492,0.916016,-0.172363,0.340332
493,0.900879,-0.148926,0.461426
494,0.874512,-0.180176,0.553711
495,0.746582,-0.134766,0.581543
496,0.735352,-0.117188,0.623047
497,0.73584,-0.149414,0.677246
498,0.657715,-0.150391,0.692383
499,0.595215,-0.153809,0.755371
500,0.506348,-0.128906,0.839355
501,0.348633,-0.172363,0.953125
502,0.239746,-0.141602,0.937012
503,0.136719,-0.109863,0.945312
504,0.015625,-0.043457,0.962402
505,-0.058105,-0.006836,0.957031
506,-0.245605,0.131836,1.274902
507,-0.378906,0.019531,0.974609
508,-0.588867,-0.173828,0.897949
509,-0.579102,-0.250488,0.687988
510,-0.648926,-0.275391,0.630371
511,-0.65918,-0.294922,0.570801
512,-0.744141,-0.313965,0.495605
513,-0.77832,-0.298828,0.476562
514,-0.835938,-0.290039,0.438965
515,-0.866211,-0.305176,0.344727
516,-0.841309,-0.350586,0.216797
517,-0.939941,-0.355469,0.121094
518,-0.794434,-0.367188,-0.238281
519,-0.879883,-0.347656,-0.024902
520,-0.977051,-0.300781,-0.134766
521,-0.879883,-0.369141,-0.378418
522,-0.888184,-0.352051,-0.19043
523,-0.891113,-0.356445,-0.308105
524,-0.818359,-0.414551,-0.418945
525,-0.76123,-0.453613,-0.416016
526,-0.737793,-0.531738,-0.513184
527,-0.653809,-0.484863,-0.577637
528,-0.585449,-0.516602,-0.638184
529,-0.438477,-0.433105,-0.833496
530,-0.379883,-0.342773,-0.875
531,-0.279297,-0.265137,-0.936523
532,-0.252441,-0.152344,-0.914551
533,-0.214355,-0.075195,-0.942871
534,-0.153809,-0.021973,-0.975098
535,-0.09375,-0.019531,-1.021484
536,-0.066895,0.059082,-0.95459
537,-0.139648,0.009277,-1.016602
538,-0.211426,0.067871,-0.865723
539,-0.116211,0.023926,-1.005371
540,0.029297,-0.072754,-1.055176
541,0.118164,-0.133301,-1.046387
542,0.111328,-0.180664,-1.015137
543,0.120117,-0.167969,-1.034668
544,0.066895,-0.104004,-1.017578
545,0.074707,-0.056641,-1.010254
546,0.064453,-0.001465,-0.99707
547,0.001465,0.037598,-0.972656
548,0.143066,0.033691,-1.054199
549,0.094238,0.162598,-0.981445
550,0.088867,0.080566,-0.998535
551,0.152344,0.087891,-0.98291
552,0.286621,0.150391,-1.001953
553,0.221191,0.119141,-1.003418
554,0.42334,-0.066406,-0.906738
555,0.845215,-0.259277,-0.473633
556,0.753418,-0.294922,-0.690918
557,0.752441,-0.22998,-0.704102
558,0.798828,-0.193848,-0.678223
559,0.909668,0.262695,-0.319336
560,0.831543,0.321777,-0.398926
561,0.760254,0.375,-0.553223
562,0.65332,0.48877,-0.638184
563,0.482422,0.556152,-0.704102
564,0.254883,0.601074,-0.838379
565,0.179688,0.567383,-0.660156
566,0.067871,0.615234,-0.799316
567,-0.072754,0.59668,-0.847168
568,-0.164551,0.610352,-0.810059
569,-0.087402,0.779785,-0.781738
570,-0.240234,0.63623,-0.757324
571,-0.321777,0.573242,-0.759766
572,-0.462402,0.55127,-0.687012
573,-0.546875,0.602539,-0.713867
574,-0.491211,0.370117,-0.793945
575,-0.516602,0.007812,-0.878418
576,-0.604492,-0.154297,-0.900391
577,-0.478516,-0.289551,-0.915527
578,-0.356445,-0.306152,-0.871094
579,-0.342285,-0.410645,-0.853027
580,-0.268066,-0.458984,-0.791016
581,-0.303223,-0.568359,-0.745605
582,-0.357422,-0.604004,-0.699707
583,-0.367188,-0.637695,-0.637207
584,-0.372559,-0.71875,-0.643066
585,-0.227051,-0.854492,-0.547852
586,-0.194824,-0.905273,-0.492676
587,-0.155762,-0.902344,-0.436035
588,-0.033691,-0.978516,-0.38916
589,0.013184,-0.975586,-0.319336
590,0.099609,-0.909668,-0.251953
591,0.166016,-0.938965,-0.195801
592,0.193848,-0.967773,-0.095215
593,0.241211,-1.025391,0.009766
594,0.376953,-0.931152,0.118652
595,0.430664,-0.913574,0.291992
596,0.445312,-0.785156,0.407715
597,0.449707,-0.72168,0.52002
598,0.453125,-0.524902,0.70166
599,0.508301,-0.498535,0.708008
600,0.561523,-0.416016,0.755859
601,0.503418,-0.303711,0.761719
602,0.501953,-0.128418,0.802734
603,0.541992,0.054199,0.857422
604,0.482422,0.212402,0.868652
605,0.476562,0.248047,0.847656
606,0.412109,0.301758,0.826172
607,0.414062,0.355957,0.838867
608,0.349609,0.399414,0.84375
609,0.363281,0.428711,0.836426
610,0.289551,0.477051,0.803223
611,0.245117,0.526367,0.772949
612,0.180176,0.615723,0.73877
613,0.105469,0.650391,0.721191
614,0.030273,0.724609,0.680176
615,1.105957,2.192871,1.175293
616,-0.109375,0.866211,0.501465
617,-0.106445,0.876953,0.362305
618,-0.237305,1.062012,0.23291
619,-0.219238,0.967285,0.145508
620,-0.193848,0.948242,0.083984
621,-0.230469,0.925781,-0.055176
622,-0.253418,0.950684,-0.081055
623,-0.286133,0.90625,-0.175781
624,-0.29541,0.920898,-0.17627
625,-0.325195,0.904785,-0.25
626,-0.34375,0.872559,-0.325684
627,-0.397461,0.793457,-0.453613
628,-0.351562,0.68457,-0.588867
629,-0.388184,0.684082,-0.664062
630,-0.378906,0.622559,-0.702637
631,-0.354492,0.591797,-0.750488
632,-0.368164,0.51416,-0.799805
633,-0.360352,0.446289,-0.854004
634,-0.365234,0.294922,-0.896484
635,-0.341309,0.214844,-0.936523
636,-0.347168,0.103027,-0.954102
637,-0.342773,0.021973,-0.961426
638,-0.330078,-0.039062,-0.939941
639,-0.340332,-0.118164,-0.938965
640,-0.376465,-0.231934,-0.92041
641,-0.413574,-0.323242,-0.836426
642,-0.398926,-0.401855,-0.870605
643,-0.411133,-0.512695,-0.794434
644,-0.408691,-0.595215,-0.726562
