Timestamp,X_Accel_g,Y_Accel_g,Z_Accel_g linked with dados_accel_25_08_full
429,-0.935547,0.138672,0.058594
430,-0.945801,0.046387,0.0
431,-0.976074,-0.130859,-0.024414
432,-0.951172,-0.204102,-0.023438
433,-0.861328,-0.34668,-0.054688
434,-0.858398,-0.539551,-0.125977
435,-0.85498,-0.64502,-0.274414
436,-0.586426,-0.805664,-0.146484
437,-0.344238,-0.824219,-0.180176
438,-0.222168,-0.90332,-0.208008
439,-0.133301,-0.913086,-0.21875
440,-0.009277,-0.979004,-0.233887
441,0.027344,-0.979492,-0.263184
442,0.111328,-0.972656,-0.228027
443,0.147461,-0.963867,-0.197754
444,0.196289,-0.987305,-0.177734
445,0.227539,-1.000488,-0.192871
446,0.099609,-0.987305,-0.199707
447,0.007812,-0.976074,-0.263672
448,-0.086914,-0.962402,-0.291016
449,-0.143066,-0.959961,-0.30957
450,-0.145508,-0.958008,-0.353516
451,-0.172363,-0.952148,-0.402832
452,-0.135742,-0.928711,-0.461914
453,-0.127441,-0.887695,-0.493164
454,-0.131348,-0.867676,-0.533691
455,-0.083496,-0.806152,-0.601562
456,-0.038574,-0.762695,-0.69043
457,0.000977,-0.67041,-0.785156
458,-0.009277,-0.569336,-0.850586
459,-0.009277,-0.453613,-0.997559
460,-0.017578,-0.344238,-0.973633
461,0.00293,-0.276367,-1.000488
462,0.010254,-0.216797,-1.023438
463,-0.021484,-0.141113,-1.024414
464,-0.02832,-0.045898,-1.040527
465,-0.026855,0.035645,-1.048828
466,-0.035645,0.117676,-1.009277
467,-0.006348,0.20752,-1.000977
468,0.047852,0.293945,-0.987305
469,0.108887,0.34375,-0.941895
470,0.218262,0.35498,-0.973145
471,0.279785,0.366699,-0.94043
472,0.316895,0.377441,-0.924805
473,0.579102,0.313965,-0.732422
474,0.628906,0.29248,-0.723633
475,0.604492,0.241699,-0.754883
476,0.827637,0.457031,-0.539551
477,0.767578,0.532227,-0.353027
478,0.81543,0.552734,-0.291504
479,0.858398,0.564453,-0.15332
480,0.878906,0.557129,0.008301
481,0.904785,0.500977,0.062012
482,0.805176,0.548828,0.141602
483,0.863281,0.492188,0.217285
484,1.025391,0.472168,-0.160156
485,0.800781,0.470703,0.312988
486,0.828613,0.363281,0.398438
487,0.883789,0.311523,0.421875
488,0.827637,0.285645,0.450195
489,0.845703,0.20459,0.481445
490,0.868164,0.130371,0.451172
491,0.928223,0.100098,0.535156
492,0.930664,0.074707,0.438477
493,1.193848,0.14502,0.548828
494,0.87793,-0.108398,0.426758
495,0.896484,-0.236328,0.453125
496,0.846191,-0.291016,0.365234
497,0.747559,-0.45752,0.400879
498,0.79541,-0.465332,0.456055
499,0.787598,-0.496094,0.411133
500,0.729004,-0.577637,0.348633
501,0.649414,-0.702148,0.356445
502,0.690918,-0.650879,0.333008
503,0.681641,-0.663086,0.298828
