Timestamp,X_Mag_Ga,Y_Mag_Ga,Z_Mag_Ga
261,-0.016788,-0.410219,0.140876
262,-0.016788,-0.413139,0.135766
263,-0.005839,-0.408029,0.134307
264,0.00292,-0.40219,0.131387
265,0.019708,-0.392701,0.126277
266,0.046715,-0.370803,0.119708
267,0.070073,-0.344526,0.116788
268,0.088321,-0.313869,0.117518
269,0.1,-0.283942,0.115328
270,0.107299,-0.258394,0.114599
271,0.110949,-0.229197,0.116788
272,0.109489,-0.192701,0.117518
273,0.105839,-0.159854,0.110949
274,0.09562,-0.129197,0.10146
275,0.083942,-0.10073,0.094161
276,0.064964,-0.073723,0.089051
277,0.042336,-0.051095,0.090511
278,0.024818,-0.036496,0.091971
279,0.007299,-0.024818,0.086861
280,-0.011679,-0.013869,0.084672
281,-0.032847,-0.006569,0.078102
282,-0.060584,0.00146,0.073723
283,-0.105839,0.005839,0.074453
284,-0.152555,0.00073,0.076642
285,-0.19708,-0.013869,0.067883
286,-0.221898,-0.027737,0.063504
287,-0.244526,-0.041606,0.064964
288,-0.267883,-0.065693,0.055474
289,-0.278832,-0.080292,0.045985
290,-0.286861,-0.092701,0.041606
291,-0.29562,-0.106569,0.035766
292,-0.30438,-0.122628,0.032847
293,-0.310949,-0.137226,0.032117
294,-0.316788,-0.153285,0.030657
295,-0.322628,-0.177372,0.027737
296,-0.325547,-0.205109,0.023358
297,-0.326277,-0.235766,0.027007
298,-0.322628,-0.263504,0.026277
299,-0.315328,-0.29635,0.023358
300,-0.305839,-0.320438,0.025547
301,-0.30219,-0.329927,0.030657
302,-0.283942,-0.354745,0.025547
303,-0.255474,-0.381022,0.016788
304,-0.226277,-0.40365,0.016058
305,-0.20438,-0.413869,0.015328
306,-0.19708,-0.418978,0.020438
307,-0.188321,-0.425547,0.024818
308,-0.164234,-0.432847,0.027737
309,-0.144526,-0.436496,0.028467
310,-0.133577,-0.435766,0.024088
311,-0.121168,-0.435036,0.019708
312,-0.116058,-0.434307,0.016058
313,-0.116788,-0.434307,0.016058
314,-0.123358,-0.432847,0.014599
315,-0.125547,-0.432847,0.014599
316,-0.129197,-0.435036,0.016788
317,-0.132847,-0.434307,0.017518
318,-0.135766,-0.432847,0.016788
319,-0.135766,-0.432847,0.013869
320,-0.139416,-0.431387,0.013869
321,-0.140146,-0.431387,0.012409
322,-0.155474,-0.427007,0.006569
323,-0.157664,-0.421168,-0.005839
324,-0.156204,-0.412409,-0.021898
325,-0.155474,-0.40219,-0.036496
326,-0.154745,-0.392701,-0.047445
327,-0.151095,-0.386131,-0.056204
328,-0.147445,-0.377372,-0.065693
329,-0.145985,-0.368613,-0.072993
330,-0.147445,-0.357664,-0.081022
331,-0.153285,-0.343066,-0.089051
332,-0.156204,-0.327737,-0.09854
333,-0.152555,-0.313139,-0.105839
334,-0.159124,-0.291241,-0.112409
335,-0.162044,-0.267153,-0.117518
336,-0.169343,-0.234307,-0.118978
337,-0.174453,-0.194891,-0.116788
338,-0.172993,-0.154745,-0.108759
339,-0.172993,-0.131387,-0.1
340,-0.176642,-0.117518,-0.092701
341,-0.192701,-0.1,-0.075182
342,-0.19781,-0.085401,-0.060584
343,-0.20073,-0.070803,-0.045985
344,-0.19781,-0.064234,-0.039416
345,-0.194891,-0.054745,-0.032117
346,-0.185401,-0.037226,-0.013139
347,-0.167153,-0.022628,0.0
348,-0.150365,-0.012409,0.013139
349,-0.136496,-0.00438,0.029197
350,-0.121898,-0.00146,0.039416
351,-0.10292,0.00146,0.050365
352,-0.083942,0.00219,0.065693
353,-0.068613,0.00219,0.069343
354,-0.055474,-0.00146,0.069343
355,-0.039416,-0.005839,0.070803
356,-0.029927,-0.009489,0.078832
357,-0.016788,-0.014599,0.086861
358,-0.005109,-0.020438,0.090511
359,0.00073,-0.024088,0.088321
360,0.00073,-0.022628,0.081752
361,0.00365,-0.025547,0.078832
362,0.012409,-0.029197,0.074453
363,0.017518,-0.032117,0.069343
364,0.019708,-0.035036,0.066423
365,0.024818,-0.039416,0.060584
366,0.032117,-0.044526,0.058394
367,0.041606,-0.054015,0.057664
368,0.055474,-0.067153,0.057664
369,0.062044,-0.076642,0.048905
370,0.072263,-0.092701,0.037956
371,0.078102,-0.105839,0.027007
372,0.086861,-0.130657,0.013869
373,0.093431,-0.160584,0.005109
374,0.09708,-0.19708,-0.00219
375,0.09562,-0.221168,-0.007299
376,0.091971,-0.244526,-0.010949
377,0.085401,-0.273723,-0.013139
378,0.068613,-0.307299,-0.016058
379,0.051095,-0.332847,-0.019708
380,0.037956,-0.350365,-0.021168
381,0.029927,-0.348905,-0.029927
382,0.014599,-0.356934,-0.037226
383,0.007299,-0.360584,-0.040876
384,-0.00219,-0.361314,-0.045985
385,-0.011679,-0.364234,-0.050365
386,-0.016058,-0.367883,-0.049635
387,-0.024088,-0.367883,-0.049635
388,-0.040876,-0.378102,-0.054015
389,-0.067883,-0.378832,-0.062044
390,-0.076642,-0.374453,-0.067883
391,-0.089051,-0.364964,-0.078102
392,-0.09854,-0.364964,-0.078102
393,-0.10438,-0.381752,-0.063504
394,-0.109489,-0.381022,-0.064234
395,-0.118248,-0.370073,-0.074453
396,-0.123358,-0.356934,-0.083942
397,-0.133577,-0.340146,-0.093431
398,-0.145255,-0.318248,-0.10292
399,-0.152555,-0.3,-0.108759
400,-0.154745,-0.3,-0.108759
401,-0.156934,-0.29854,-0.108759
402,-0.160584,-0.291241,-0.110219
403,-0.168613,-0.274453,-0.112409
404,-0.179562,-0.250365,-0.113869
405,-0.20073,-0.214599,-0.107299
406,-0.205839,-0.187591,-0.10146
407,-0.216058,-0.147445,-0.086131
408,-0.216788,-0.115328,-0.070073
409,-0.211679,-0.085401,-0.051825
410,-0.20365,-0.064234,-0.037226
411,-0.191241,-0.048905,-0.024088
412,-0.185401,-0.039416,-0.013869
413,-0.179562,-0.035766,-0.011679
414,-0.170073,-0.029927,-0.009489
415,-0.161314,-0.025547,-0.005109
416,-0.155474,-0.021898,-0.00365
417,-0.151825,-0.020438,-0.00219
418,-0.141606,-0.019708,-0.005109
419,-0.135036,-0.017518,-0.00146
420,-0.118248,-0.013869,0.00219
421,-0.09781,-0.011679,0.006569
422,-0.082482,-0.007299,0.021898
423,-0.057664,-0.005839,0.037956
424,-0.021168,-0.013139,0.062774
425,0.00292,-0.025547,0.078832
426,0.021898,-0.036496,0.088321
427,0.037226,-0.050365,0.09562
428,0.051095,-0.064234,0.10073
429,0.060584,-0.075912,0.10365
430,0.067153,-0.083212,0.105839
431,0.071533,-0.091971,0.108759
432,0.076642,-0.09708,0.108029
433,0.081022,-0.107299,0.109489
434,0.088321,-0.125547,0.115328
435,0.09927,-0.151825,0.113869
436,0.10438,-0.167153,0.114599
437,0.108029,-0.187591,0.113869
438,0.110219,-0.20438,0.109489
439,0.111679,-0.227737,0.105109
440,0.108759,-0.246715,0.107299
441,0.10438,-0.268613,0.105109
442,0.094891,-0.294161,0.116058
443,0.080292,-0.322628,0.118978
444,0.062774,-0.348175,0.124818
445,0.045985,-0.366423,0.126277
446,0.032117,-0.383212,0.120438
447,0.012409,-0.39927,0.113869
448,-0.008029,-0.413869,0.108759
449,-0.021168,-0.421898,0.10292
450,-0.037956,-0.429197,0.09854
451,-0.059124,-0.436496,0.09635
452,-0.092701,-0.442336,0.083942
453,-0.112409,-0.444526,0.077372
454,-0.138686,-0.443066,0.069343
455,-0.158394,-0.439416,0.061314
456,-0.181752,-0.432847,0.051825
457,-0.205109,-0.421898,0.044526
458,-0.232117,-0.405109,0.038686
459,-0.260584,-0.378832,0.028467
460,-0.283212,-0.348905,0.019708
461,-0.29854,-0.317518,0.009489
462,-0.305109,-0.29635,0.005109
463,-0.308759,-0.274453,-0.00219
464,-0.308759,-0.254745,-0.010949
465,-0.30219,-0.237956,-0.024088
466,-0.29562,-0.228467,-0.033577
467,-0.287591,-0.213869,-0.043796
468,-0.281022,-0.19781,-0.051095
469,-0.266423,-0.173723,-0.059124
470,-0.255474,-0.161314,-0.065693
471,-0.242336,-0.158394,-0.074453
472,-0.227737,-0.157664,-0.083942
473,-0.215328,-0.158394,-0.091241
474,-0.194161,-0.162044,-0.10365
475,-0.181022,-0.175182,-0.112409
476,-0.169343,-0.19635,-0.119708
477,-0.159124,-0.212409,-0.121898
478,-0.144526,-0.219708,-0.126277
479,-0.141606,-0.216058,-0.126277
480,-0.139416,-0.216058,-0.126277
481,-0.135036,-0.224818,-0.127737
482,-0.114599,-0.232847,-0.129197
483,-0.110219,-0.228467,-0.129927
484,-0.079562,-0.234307,-0.126277
485,-0.041606,-0.239416,-0.120438
486,-0.017518,-0.235036,-0.112409
487,0.009489,-0.221168,-0.09927
488,0.030657,-0.221168,-0.09927
489,0.045255,-0.208759,-0.074453
490,0.058394,-0.208759,-0.062774
491,0.070073,-0.205839,-0.048175
492,0.082482,-0.205839,-0.032117
493,0.093431,-0.209489,-0.016058
494,0.10292,-0.205109,0.00438
495,0.109489,-0.211679,0.026277
496,0.110949,-0.211679,0.034307
497,0.113869,-0.218978,0.047445
498,0.116058,-0.222628,0.059854
499,0.114599,-0.227007,0.074453
500,0.115328,-0.225547,0.089051
501,0.106569,-0.229197,0.132847
502,0.09927,-0.227007,0.156204
503,0.086131,-0.216788,0.178832
504,0.077372,-0.206569,0.193431
505,0.064964,-0.2,0.208029
506,0.040146,-0.19854,0.232117
507,0.012409,-0.193431,0.251095
508,-0.025547,-0.210949,0.270803
509,-0.053285,-0.227007,0.281752
510,-0.070803,-0.231387,0.283942
511,-0.083942,-0.229927,0.286131
512,-0.10146,-0.227007,0.287591
513,-0.124088,-0.223358,0.287591
514,-0.148905,-0.217518,0.285401
515,-0.174453,-0.216058,0.280292
516,-0.20219,-0.209489,0.271533
517,-0.223358,-0.205109,0.262044
518,-0.242336,-0.20219,0.250365
519,-0.262774,-0.2,0.235036
520,-0.278832,-0.194161,0.218978
521,-0.292701,-0.190511,0.20219
522,-0.305109,-0.186131,0.183942
523,-0.311679,-0.183212,0.170073
524,-0.315328,-0.188321,0.162774
525,-0.320438,-0.205109,0.156204
526,-0.325547,-0.226277,0.148175
527,-0.327737,-0.248905,0.135766
528,-0.329197,-0.275912,0.10146
529,-0.326277,-0.289781,0.091971
530,-0.320438,-0.30073,0.067153
531,-0.312409,-0.311679,0.043796
532,-0.305839,-0.317518,0.029927
533,-0.29854,-0.318978,0.014599
534,-0.289051,-0.324818,-0.00073
535,-0.271533,-0.334307,-0.015328
536,-0.256934,-0.346715,-0.021898
537,-0.250365,-0.355474,-0.021898
538,-0.244526,-0.363504,-0.020438
539,-0.232117,-0.372263,-0.021898
540,-0.215328,-0.379562,-0.026277
541,-0.20292,-0.391971,-0.022628
542,-0.19927,-0.39562,-0.018248
543,-0.19562,-0.39635,-0.018978
544,-0.189051,-0.39562,-0.024818
545,-0.183212,-0.394161,-0.029927
546,-0.182482,-0.390511,-0.036496
547,-0.174453,-0.387591,-0.043066
548,-0.168613,-0.383212,-0.050365
549,-0.158394,-0.380292,-0.056934
550,-0.152555,-0.382482,-0.056204
551,-0.137226,-0.385401,-0.056934
552,-0.126277,-0.378102,-0.064964
553,-0.121898,-0.386861,-0.057664
554,-0.075182,-0.408029,-0.024818
555,-0.027737,-0.422628,0.062044
556,-0.026277,-0.424088,0.063504
557,-0.014599,-0.418248,0.064234
558,0.010949,-0.40365,0.069343
559,0.058394,-0.362044,0.083212
560,0.088321,-0.362044,0.083212
561,0.10146,-0.282482,0.09927
562,0.111679,-0.243066,0.080292
563,0.113869,-0.20292,0.062774
564,0.105839,-0.162044,0.054015
565,0.091241,-0.131387,0.031387
566,0.073723,-0.114599,0.00438
567,0.062774,-0.10438,-0.005109
568,0.060584,-0.09854,-0.00292
569,0.044526,-0.089781,-0.016058
570,0.032117,-0.078102,-0.018248
571,0.009489,-0.067883,-0.030657
572,-0.013139,-0.054015,-0.031387
573,-0.021168,-0.045255,-0.024818
574,-0.060584,-0.036496,-0.032117
575,-0.10365,-0.030657,-0.032847
576,-0.155474,-0.048175,-0.045255
577,-0.190511,-0.070073,-0.054015
578,-0.221168,-0.09781,-0.057664
579,-0.241606,-0.121168,-0.058394
580,-0.257664,-0.144526,-0.056934
581,-0.270803,-0.159124,-0.053285
582,-0.280292,-0.171533,-0.046715
583,-0.286861,-0.183212,-0.043066
584,-0.291241,-0.19708,-0.041606
585,-0.292701,-0.223358,-0.043066
586,-0.289781,-0.254745,-0.043796
587,-0.287591,-0.274453,-0.040146
588,-0.280292,-0.29562,-0.039416
589,-0.275182,-0.317518,-0.033577
590,-0.264234,-0.338686,-0.030657
591,-0.255474,-0.356934,-0.021898
592,-0.237956,-0.370803,-0.025547
593,-0.224818,-0.391971,-0.012409
594,-0.19927,-0.414599,0.00292
595,-0.175912,-0.429197,0.021898
596,-0.159124,-0.438686,0.037226
597,-0.138686,-0.444526,0.060584
598,-0.117518,-0.447445,0.080292
599,-0.090511,-0.445255,0.089051
600,-0.065693,-0.438686,0.10073
601,-0.035766,-0.429197,0.116788
602,-0.008759,-0.410219,0.135766
603,0.017518,-0.387591,0.152555
604,0.034307,-0.364964,0.165693
605,0.046715,-0.347445,0.169343
606,0.056204,-0.329927,0.175182
607,0.063504,-0.313139,0.179562
608,0.064964,-0.30219,0.184672
609,0.068613,-0.288321,0.189051
610,0.070803,-0.267883,0.194161
611,0.071533,-0.253285,0.19927
612,0.067153,-0.236496,0.208029
613,0.056934,-0.218248,0.219708
614,0.045985,-0.20292,0.229927
615,0.031387,-0.183942,0.240146
616,0.023358,-0.162044,0.240146
617,0.010949,-0.137956,0.240146
618,-0.00073,-0.122628,0.240146
619,-0.013869,-0.10073,0.234307
620,-0.024818,-0.082482,0.226277
