Timestamp,X_Mag_Raw,Y_Mag_Raw,Z_Mag_Raw
77,-0.135036,-0.227007,0.289781
78,-0.137226,-0.231387,0.289051
79,-0.140876,-0.235766,0.289051
80,-0.145255,-0.241606,0.288321
81,-0.150365,-0.244526,0.288321
82,-0.160584,-0.254745,0.286131
83,-0.182482,-0.264964,0.280292
84,-0.2,-0.273723,0.273723
85,-0.210949,-0.286131,0.266423
86,-0.224088,-0.30292,0.254745
87,-0.229927,-0.313139,0.248905
88,-0.238686,-0.327007,0.237226
89,-0.236496,-0.335036,0.232847
90,-0.231387,-0.345255,0.230657
91,-0.229197,-0.356204,0.224818
92,-0.228467,-0.362774,0.218248
93,-0.226277,-0.367883,0.216788
94,-0.226277,-0.367883,0.215328
95,-0.222628,-0.370073,0.216058
96,-0.223358,-0.370073,0.214599
97,-0.221168,-0.369343,0.218248
98,-0.223358,-0.367153,0.217518
99,-0.221898,-0.370073,0.216788
100,-0.224088,-0.378832,0.208029
101,-0.227007,-0.388321,0.19562
102,-0.221168,-0.39854,0.187591
103,-0.218248,-0.408759,0.174453
104,-0.217518,-0.418978,0.157664
105,-0.216058,-0.427737,0.137226
106,-0.217518,-0.432117,0.117518
107,-0.217518,-0.437226,0.09781
108,-0.211679,-0.439416,0.073723
109,-0.216058,-0.437956,0.065693
110,-0.218978,-0.436496,0.058394
111,-0.218978,-0.435036,0.044526
112,-0.216058,-0.431387,0.029197
113,-0.216788,-0.427737,0.014599
114,-0.216058,-0.424088,0.00219
115,-0.216788,-0.420438,-0.00292
116,-0.219708,-0.418248,-0.008029
117,-0.224088,-0.413139,-0.012409
118,-0.229197,-0.407299,-0.017518
119,-0.232847,-0.40073,-0.023358
120,-0.240146,-0.392701,-0.027737
121,-0.246715,-0.386131,-0.029927
122,-0.257664,-0.376642,-0.030657
123,-0.267153,-0.367153,-0.028467
124,-0.275182,-0.360584,-0.027737
125,-0.283942,-0.351825,-0.026277
126,-0.293431,-0.340146,-0.019708
127,-0.30146,-0.331387,-0.016788
128,-0.305109,-0.326277,-0.016058
129,-0.310219,-0.321168,-0.011679
130,-0.315328,-0.313869,-0.006569
131,-0.325547,-0.306569,0.010949
132,-0.332117,-0.30219,0.021898
133,-0.333577,-0.29927,0.033577
134,-0.335766,-0.29781,0.044526
135,-0.339416,-0.29781,0.062044
136,-0.337226,-0.29781,0.077372
137,-0.337226,-0.29635,0.093431
138,-0.332847,-0.29781,0.112409
139,-0.329197,-0.29927,0.127737
140,-0.323358,-0.294891,0.151095
141,-0.309489,-0.281022,0.181752
142,-0.294891,-0.267153,0.206569
143,-0.278832,-0.256934,0.225547
144,-0.260584,-0.244526,0.241606
145,-0.236496,-0.229927,0.257664
146,-0.211679,-0.216058,0.269343
147,-0.187591,-0.206569,0.276642
148,-0.166423,-0.192701,0.280292
149,-0.150365,-0.183212,0.281752
150,-0.150365,-0.175182,0.281022
151,-0.154015,-0.170073,0.280292
152,-0.151825,-0.167153,0.280292
153,-0.145255,-0.167153,0.281752
154,-0.143066,-0.167883,0.281022
155,-0.143066,-0.164234,0.281022
156,-0.142336,-0.161314,0.280292
157,-0.140146,-0.160584,0.280292
158,-0.141606,-0.157664,0.280292
159,-0.143066,-0.154745,0.278832
160,-0.140876,-0.146715,0.277372
161,-0.143066,-0.131387,0.270803
162,-0.140876,-0.118978,0.267153
163,-0.135036,-0.112409,0.264234
164,-0.141606,-0.105839,0.260584
165,-0.158394,-0.10365,0.257664
166,-0.176642,-0.105839,0.254015
167,-0.2,-0.116058,0.252555
168,-0.221898,-0.133577,0.251095
169,-0.229927,-0.145985,0.252555
170,-0.233577,-0.151825,0.252555
171,-0.248175,-0.161314,0.247445
172,-0.259854,-0.176642,0.245255
173,-0.268613,-0.187591,0.241606
174,-0.275912,-0.205109,0.238686
175,-0.282482,-0.232847,0.235766
176,-0.286861,-0.256934,0.227007
177,-0.291241,-0.278102,0.218978
178,-0.286861,-0.294891,0.218978
179,-0.284672,-0.310219,0.213139
180,-0.289051,-0.327007,0.19781
181,-0.288321,-0.340876,0.186861
182,-0.286861,-0.358394,0.172993
183,-0.278102,-0.380292,0.156934
184,-0.267883,-0.39781,0.144526
185,-0.261314,-0.410219,0.131387
186,-0.252555,-0.418978,0.124818
187,-0.238686,-0.430657,0.113869
188,-0.226277,-0.439416,0.108029
189,-0.217518,-0.442336,0.10292
190,-0.213139,-0.445985,0.09927
191,-0.210949,-0.445985,0.094891
192,-0.208029,-0.448175,0.094161
193,-0.2,-0.450365,0.090511
194,-0.164234,-0.459124,0.086131
195,-0.126277,-0.461314,0.075912
196,-0.090511,-0.459854,0.068613
197,-0.048175,-0.448905,0.055474
198,-0.040876,-0.444526,0.047445
199,-0.025547,-0.437956,0.037226
200,-0.013869,-0.431387,0.029927
201,0.00365,-0.418978,0.023358
202,0.021898,-0.40438,0.015328
203,0.031387,-0.394891,0.007299
204,0.039416,-0.384672,0.00219
205,0.045255,-0.377372,0.00073
206,0.061314,-0.362044,0.005839
207,0.078102,-0.342336,0.016058
208,0.085401,-0.335766,0.018978
209,0.089051,-0.331387,0.023358
210,0.086861,-0.336496,0.029197
211,0.089781,-0.337226,0.044526
212,0.088321,-0.342336,0.059124
213,0.087591,-0.345255,0.073723
214,0.084672,-0.347445,0.087591
215,0.085401,-0.344526,0.10365
216,0.083212,-0.343796,0.116788
217,0.081022,-0.340146,0.135036
218,0.075182,-0.339416,0.150365
219,0.067153,-0.338686,0.164964
220,0.057664,-0.337956,0.182482
221,0.048175,-0.335766,0.194891
222,0.043066,-0.329927,0.20438
223,0.038686,-0.313139,0.219708
224,0.029927,-0.29562,0.235036
225,0.019708,-0.267153,0.251095
226,0.00292,-0.235036,0.264234
227,-0.008759,-0.213139,0.271533
228,-0.016788,-0.19927,0.274453
229,-0.021168,-0.194161,0.275182
230,-0.028467,-0.183212,0.275912
231,-0.035036,-0.170073,0.275912
232,-0.029927,-0.154745,0.270073
233,-0.031387,-0.137226,0.264964
234,-0.026277,-0.127737,0.259124
235,-0.028467,-0.118248,0.254745
236,-0.031387,-0.111679,0.253285
237,-0.035766,-0.108759,0.252555
238,-0.038686,-0.10365,0.250365
239,-0.040146,-0.10073,0.247445
240,-0.040146,-0.09854,0.248905
241,-0.040876,-0.09854,0.247445
242,-0.043066,-0.09635,0.245985
243,-0.048905,-0.094891,0.248175
244,-0.056204,-0.091971,0.248175
245,-0.062044,-0.089051,0.247445
246,-0.067883,-0.087591,0.247445
247,-0.073723,-0.086131,0.248905
248,-0.075912,-0.083942,0.246715
249,-0.081022,-0.081022,0.245255
250,-0.086861,-0.076642,0.243066
251,-0.091241,-0.072993,0.241606
252,-0.09708,-0.068613,0.237956
253,-0.10073,-0.064964,0.235036
254,-0.10073,-0.062044,0.233577
255,-0.10073,-0.058394,0.229197
256,-0.10219,-0.051825,0.224088
257,-0.1,-0.051825,0.221898
258,-0.081752,-0.046715,0.213139
259,-0.068613,-0.045255,0.207299
260,-0.048905,-0.044526,0.19781
261,-0.022628,-0.045985,0.183942
262,0.005839,-0.054015,0.166423
263,0.037226,-0.063504,0.143796
264,0.058394,-0.078832,0.121168
265,0.075182,-0.094891,0.10365
266,0.085401,-0.107299,0.085401
267,0.091241,-0.118978,0.067153
268,0.094161,-0.127737,0.050365
269,0.09635,-0.139416,0.036496
270,0.09635,-0.150365,0.018978
271,0.093431,-0.157664,0.005109
272,0.092701,-0.162044,-0.00438
273,0.089051,-0.164964,-0.013869
274,0.083212,-0.165693,-0.026277
275,0.078832,-0.164234,-0.035766
276,0.072263,-0.165693,-0.046715
277,0.064964,-0.169343,-0.056934
278,0.054745,-0.166423,-0.067883
279,0.051095,-0.164234,-0.072263
280,0.042336,-0.156934,-0.081752
281,0.030657,-0.145985,-0.086861
282,0.017518,-0.135036,-0.091971
283,0.011679,-0.124818,-0.091971
284,0.005109,-0.108759,-0.088321
285,0.00365,-0.09708,-0.083942
286,0.005109,-0.090511,-0.076642
287,0.005839,-0.082482,-0.070803
288,0.007299,-0.074453,-0.062774
289,0.009489,-0.062774,-0.051095
290,0.009489,-0.054745,-0.041606
291,0.010219,-0.051095,-0.036496
292,0.010949,-0.045985,-0.030657
293,0.009489,-0.037226,-0.018248
294,0.007299,-0.027737,-0.005109
295,0.005839,-0.021168,0.009489
296,0.00438,-0.013869,0.026277
297,0.00219,-0.010949,0.041606
298,-0.00219,-0.00438,0.062774
299,-0.005109,-0.00365,0.084672
300,-0.009489,-0.00365,0.107299
301,-0.018978,-0.007299,0.132847
302,-0.028467,-0.010219,0.151095
303,-0.035036,-0.017518,0.170073
304,-0.043796,-0.024818,0.187591
305,-0.051825,-0.033577,0.20073
306,-0.057664,-0.041606,0.210219
307,-0.063504,-0.048175,0.218248
308,-0.061314,-0.048175,0.218248
309,-0.058394,-0.047445,0.215328
310,-0.065693,-0.051095,0.218978
311,-0.072263,-0.055474,0.223358
312,-0.078102,-0.056934,0.227007
313,-0.083212,-0.059124,0.229927
314,-0.090511,-0.064234,0.235036
315,-0.093431,-0.067153,0.236496
316,-0.093431,-0.069343,0.237956
317,-0.094161,-0.071533,0.239416
318,-0.083942,-0.070073,0.235766
319,-0.079562,-0.067153,0.232117
320,-0.078102,-0.067153,0.231387
321,-0.078102,-0.067883,0.230657
322,-0.076642,-0.068613,0.228467
323,-0.072993,-0.069343,0.227737
324,-0.067883,-0.066423,0.224818
325,-0.060584,-0.061314,0.216788
326,-0.044526,-0.055474,0.20438
327,-0.022628,-0.054015,0.189051
328,0.007299,-0.059124,0.169343
329,0.036496,-0.071533,0.145985
