Timestamp,X_Mag_Ga,Y_Mag_Ga,Z_Mag_Ga linked with dados_mag_25_08_full
621,-0.335036,-0.257664,0.047445
622,-0.337956,-0.246715,0.055474
623,-0.339416,-0.234307,0.064964
624,-0.340876,-0.229927,0.075182
625,-0.340876,-0.220438,0.085401
626,-0.340876,-0.213869,0.089781
627,-0.340876,-0.20073,0.094161
628,-0.339416,-0.192701,0.09562
629,-0.338686,-0.189051,0.093431
630,-0.337956,-0.183942,0.091241
631,-0.336496,-0.176642,0.081752
632,-0.332847,-0.162774,0.070803
633,-0.330657,-0.159854,0.059124
634,-0.326277,-0.154015,0.045255
635,-0.322628,-0.144526,0.039416
636,-0.318248,-0.133577,0.037956
637,-0.313869,-0.124818,0.035766
638,-0.306569,-0.111679,0.035766
639,-0.30073,-0.10146,0.037956
640,-0.29854,-0.094161,0.043796
641,-0.291241,-0.079562,0.055474
642,-0.278102,-0.062774,0.072993
643,-0.269343,-0.052555,0.074453
644,-0.254745,-0.039416,0.084672
645,-0.234307,-0.024818,0.09562
646,-0.215328,-0.013869,0.105839
647,-0.19708,-0.006569,0.113139
648,-0.177372,-0.00073,0.122628
649,-0.155474,0.00438,0.129927
650,-0.124818,0.007299,0.135766
651,-0.10146,0.007299,0.136496
652,-0.082482,0.007299,0.135036
653,-0.058394,0.00438,0.127737
654,-0.037226,0.00219,0.121168
655,-0.024088,-0.00073,0.107299
656,-0.013139,-0.00292,0.091241
657,-0.012409,-0.00365,0.072263
658,-0.013869,-0.00365,0.051095
659,-0.027007,-0.00219,0.038686
660,-0.040146,-0.010949,-0.00438
661,-0.052555,-0.032117,-0.042336
662,-0.064964,-0.046715,-0.061314
663,-0.070803,-0.070073,-0.083212
664,-0.077372,-0.086861,-0.09708
665,-0.079562,-0.09927,-0.10365
666,-0.079562,-0.10219,-0.105109
667,-0.086131,-0.089781,-0.09927
668,-0.1,-0.081022,-0.094891
669,-0.108759,-0.076642,-0.091241
670,-0.123358,-0.075182,-0.089051
671,-0.145985,-0.081022,-0.089051
672,-0.165693,-0.089781,-0.089781
673,-0.187591,-0.09562,-0.085401
674,-0.214599,-0.10146,-0.075912
675,-0.237226,-0.109489,-0.063504
676,-0.259124,-0.122628,-0.050365
677,-0.278102,-0.135766,-0.040876
678,-0.290511,-0.148175,-0.032117
679,-0.3,-0.164964,-0.026277
680,-0.307299,-0.179562,-0.019708
681,-0.310949,-0.193431,-0.018248
682,-0.310949,-0.208029,-0.017518
683,-0.313139,-0.222628,-0.020438
684,-0.310949,-0.234307,-0.021168
685,-0.308759,-0.245255,-0.023358
686,-0.307299,-0.254015,-0.025547
687,-0.30219,-0.259854,-0.030657
688,-0.29781,-0.254745,-0.038686
689,-0.294891,-0.240876,-0.043066
690,-0.293431,-0.220438,-0.045985
691,-0.29635,-0.205839,-0.042336
692,-0.30365,-0.19927,-0.032847
693,-0.30438,-0.19854,-0.029927
694,-0.309489,-0.190511,-0.021168
695,-0.310949,-0.179562,-0.014599
696,-0.308759,-0.168613,-0.014599
697,-0.30219,-0.155474,-0.018978
698,-0.29562,-0.146715,-0.024818
699,-0.29927,-0.148905,-0.019708
700,-0.30146,-0.151095,-0.017518
701,-0.30146,-0.149635,-0.014599
702,-0.30146,-0.135766,-0.006569
