Timestamp,X_Mag_Ga,Y_Mag_Ga,Z_Mag_Ga
406,0.061314,-0.417518,0.069343
407,0.036496,-0.423358,0.027737
408,0.008029,-0.421898,-0.006569
409,-0.00292,-0.39562,-0.045255
410,-0.00073,-0.339416,-0.083212
411,-0.00365,-0.29781,-0.10073
412,-0.00219,-0.263504,-0.105109
413,0.008759,-0.249635,-0.10365
414,0.019708,-0.244526,-0.09927
415,0.038686,-0.248905,-0.090511
416,0.051825,-0.240876,-0.083212
417,0.058394,-0.237226,-0.079562
418,0.064234,-0.227737,-0.075912
419,0.068613,-0.232117,-0.073723
420,0.056934,-0.257664,-0.081022
421,0.048905,-0.30219,-0.076642
422,0.048905,-0.356204,-0.047445
423,0.064964,-0.383212,-0.00365
424,0.078832,-0.389781,0.035036
425,0.090511,-0.383212,0.062774
426,0.106569,-0.364234,0.073723
427,0.113869,-0.351095,0.069343
428,0.115328,-0.348905,0.081752
429,0.123358,-0.329927,0.111679
430,0.130657,-0.305109,0.123358
431,0.137226,-0.29635,0.107299
432,0.143066,-0.257664,0.062044
433,0.139416,-0.228467,0.035766
434,0.127007,-0.262044,0.00438
435,0.129927,-0.305109,0.032847
436,0.132847,-0.320438,0.080292
437,0.125547,-0.331387,0.121898
438,0.143796,-0.217518,0.127007
439,0.059854,-0.059854,0.071533
440,-0.105109,-0.027737,0.035766
441,-0.20073,-0.071533,0.030657
442,-0.282482,-0.154745,0.094891
443,-0.272263,-0.363504,0.109489
444,-0.158394,-0.457664,0.111679
445,-0.075912,-0.458394,0.156934
446,0.024088,-0.421168,0.177372
447,0.132847,-0.305839,0.143066
448,0.09781,-0.092701,0.094891
449,-0.051095,-0.018978,0.057664
450,-0.166423,-0.043066,0.047445
451,-0.240876,-0.094161,0.057664
452,-0.291971,-0.169343,0.094161
453,-0.30073,-0.30146,0.110219
454,-0.20365,-0.435036,0.123358
455,-0.054015,-0.456934,0.162044
456,0.110219,-0.313139,0.186861
457,0.109489,-0.125547,0.148905
458,0.044526,-0.056934,0.139416
459,-0.126277,-0.021898,0.094161
460,-0.235766,-0.081752,0.094891
461,-0.30365,-0.210949,0.089051
462,-0.30292,-0.290511,0.078832
463,-0.272993,-0.330657,0.010949
464,-0.249635,-0.334307,-0.021168
465,-0.222628,-0.367153,-0.027737
466,-0.20365,-0.39854,-0.013139
467,-0.130657,-0.437956,-0.008029
468,-0.027737,-0.432117,-0.018248
469,0.107299,-0.29635,-0.024088
470,0.123358,-0.237226,-0.013139
471,0.127737,-0.2,0.00073
472,0.088321,-0.107299,0.012409
473,-0.071533,-0.025547,0.032117
474,-0.168613,-0.057664,0.012409
475,-0.266423,-0.178832,-0.00365
476,-0.262044,-0.310949,-0.015328
477,-0.19635,-0.40219,-0.014599
478,-0.140146,-0.439416,-0.00146
479,-0.00073,-0.440876,0.016058
480,0.135766,-0.283942,0.022628
481,0.143796,-0.205109,0.049635
482,0.121168,-0.129197,0.062044
483,0.074453,-0.075912,0.048175
484,-0.090511,-0.034307,0.012409
485,-0.217518,-0.09854,0.00146
486,-0.264234,-0.193431,-0.012409
487,-0.251095,-0.345985,-0.005839
488,-0.126277,-0.444526,0.00365
489,-0.047445,-0.456204,0.027737
490,-0.00365,-0.448175,0.036496
491,0.075182,-0.40292,0.047445
492,0.143796,-0.289051,0.066423
493,0.128467,-0.140876,0.091241
494,0.059124,-0.059854,0.1
495,-0.135766,-0.025547,0.105839
496,-0.248175,-0.10146,0.10146
497,-0.30292,-0.247445,0.1
498,-0.293431,-0.311679,0.09708
499,-0.286131,-0.334307,0.088321
500,-0.284672,-0.167153,0.065693
501,-0.172263,-0.048175,0.039416
502,-0.024818,-0.029927,0.042336
503,0.081752,-0.092701,0.035036
504,0.128467,-0.163504,0.037956
505,0.140146,-0.235036,0.032847
506,0.135036,-0.29635,0.047445
507,0.129927,-0.314599,0.052555
508,0.134307,-0.310949,0.093431
509,0.137956,-0.29927,0.091971
510,0.131387,-0.321168,0.091971
511,0.131387,-0.324818,0.083212
512,0.124088,-0.340876,0.070073
513,0.125547,-0.338686,0.082482
514,0.10438,-0.372263,0.10438
515,0.072263,-0.406569,0.118978
516,-0.080292,-0.462774,0.136496
517,-0.216058,-0.423358,0.083212
518,-0.283212,-0.333577,0.069343
519,-0.29854,-0.221168,0.076642
520,-0.275182,-0.151095,0.062774
521,-0.221898,-0.082482,0.059124
522,-0.127007,-0.028467,0.070073
523,0.008759,-0.035036,0.09708
524,0.10365,-0.109489,0.118978
525,0.138686,-0.177372,0.113139
526,0.134307,-0.326277,0.089781
527,0.081752,-0.391971,0.045255
528,-0.010949,-0.448175,0.032847
529,-0.172263,-0.430657,0.015328
530,-0.276642,-0.293431,0.009489
531,-0.239416,-0.124818,0.010949
532,-0.151825,-0.045985,0.034307
533,-0.064964,-0.020438,0.09854
534,-0.018248,-0.030657,0.114599
535,0.067883,-0.070803,0.09635
536,0.135766,-0.170073,0.094891
537,0.139416,-0.291241,0.056204
538,0.09708,-0.364234,0.024088
539,0.023358,-0.417518,-0.00073
540,-0.09927,-0.451095,0.018248
541,-0.187591,-0.427737,0.030657
542,-0.254015,-0.359124,0.021898
543,-0.215328,-0.172263,-0.054015
544,-0.135766,-0.094161,-0.051095
545,-0.036496,-0.055474,-0.013869
546,-0.016788,-0.056934,-0.009489
547,0.079562,-0.135766,-0.021168
548,0.106569,-0.271533,-0.029927
549,0.061314,-0.383942,-0.007299
550,-0.019708,-0.440146,0.006569
551,-0.091971,-0.451825,0.016058
552,-0.157664,-0.437226,0.017518
553,-0.216788,-0.390511,0.00073
554,-0.261314,-0.263504,-0.022628
555,-0.252555,-0.19781,-0.024088
556,-0.214599,-0.133577,-0.029197
557,-0.176642,-0.10219,-0.035036
558,-0.140876,-0.094891,-0.047445
559,-0.064234,-0.122628,-0.082482
560,-0.066423,-0.139416,-0.091971
561,-0.086861,-0.160584,-0.1
562,-0.113869,-0.19781,-0.108029
563,-0.137226,-0.257664,-0.108759
564,-0.124088,-0.375912,-0.074453
565,-0.080292,-0.443066,-0.008029
566,-0.037956,-0.464234,0.056934
567,-0.027737,-0.462044,0.062044
568,-0.027007,-0.428467,-0.021168
569,-0.076642,-0.272263,-0.118248
570,-0.163504,-0.140876,-0.072993
571,-0.216788,-0.079562,0.054015
572,-0.216788,-0.083942,0.146715
573,-0.208029,-0.151825,0.235036
574,-0.174453,-0.259124,0.275912
575,-0.140876,-0.340146,0.269343
576,-0.084672,-0.424818,0.211679
577,-0.054745,-0.458394,0.145985
578,-0.040876,-0.464964,0.082482
579,-0.014599,-0.450365,0.028467
580,0.017518,-0.406569,-0.026277
581,0.032117,-0.337226,-0.073723
582,0.020438,-0.268613,-0.09927
583,0.00438,-0.19854,-0.10219
584,-0.010949,-0.10438,-0.063504
585,-0.032117,-0.035036,0.021898
586,-0.082482,-0.021898,0.124088
587,-0.108759,-0.105109,0.252555
588,-0.10146,-0.235036,0.29708
589,-0.136496,-0.359854,0.262044
590,-0.145985,-0.410949,0.217518
591,-0.177372,-0.440146,0.143066
592,-0.19927,-0.437226,0.107299
593,-0.19781,-0.435036,0.067883
594,-0.186861,-0.432117,0.030657
595,-0.175182,-0.413139,-0.018248
596,-0.154015,-0.366423,-0.070073
597,-0.136496,-0.29927,-0.105109
598,-0.123358,-0.285401,-0.111679
599,-0.1,-0.293431,-0.113869
600,-0.063504,-0.264234,-0.118978
601,-0.011679,-0.29635,-0.105839
602,0.037226,-0.306569,-0.084672
603,0.087591,-0.267883,-0.056204
604,0.09927,-0.221168,-0.045985
605,0.09708,-0.20438,-0.045255
606,0.09635,-0.143066,-0.016058
607,0.056204,-0.081022,0.0
608,-0.013139,-0.048175,-0.005839
609,-0.09927,-0.052555,-0.021168
610,-0.194161,-0.09562,-0.023358
611,-0.252555,-0.175182,-0.022628
612,-0.235766,-0.294161,-0.051825
613,-0.183942,-0.386131,-0.040876
614,-0.037956,-0.440876,-0.006569
615,0.021898,-0.428467,0.016058
616,0.111679,-0.341606,0.017518
617,0.139416,-0.20146,0.032847
618,0.09562,-0.09708,0.049635
619,0.019708,-0.040146,0.058394
620,-0.09635,-0.020438,0.067153
621,-0.248905,-0.113139,0.037226
622,-0.275182,-0.275912,-0.006569
623,-0.170803,-0.421898,-0.008029
624,-0.081022,-0.449635,0.00438
625,-0.00292,-0.432117,0.0
626,0.092701,-0.370803,0.018248
627,0.144526,-0.20219,0.057664
628,0.108029,-0.109489,0.075182
629,0.060584,-0.060584,0.074453
630,-0.106569,-0.021168,0.094891
631,-0.262774,-0.118978,0.09562
632,-0.30365,-0.260584,0.09781
633,-0.286861,-0.332847,0.113869
634,-0.250365,-0.384672,0.136496
635,-0.185401,-0.419708,0.183942
636,-0.134307,-0.417518,0.213139
637,-0.043066,-0.40073,0.233577
